"Plot Title: HP_Winter22"
"#","Date Time, GMT-06:00","Low Range, μS/cm (LGR S/N: 20758339, SEN S/N: 20758339)","Full Range, μS/cm (LGR S/N: 20758339, SEN S/N: 20758339)","Temp, °C (LGR S/N: 20758339, SEN S/N: 20758339)","Coupler Detached (LGR S/N: 20758339)","Coupler Attached (LGR S/N: 20758339)","Host Connected (LGR S/N: 20758339)","Stopped (LGR S/N: 20758339)","End Of File (LGR S/N: 20758339)"
83,01/14/22 05:00:00 AM,1181.5,1179.6,4.45,,,,,
84,01/14/22 05:30:00 AM,1181.6,1179.6,4.45,,,,,
85,01/14/22 06:00:00 AM,1181.9,1180.0,4.45,,,,,
86,01/14/22 06:30:00 AM,1181.6,1179.7,4.44,,,,,
87,01/14/22 07:00:00 AM,1181.2,1179.6,4.46,,,,,
88,01/14/22 07:30:00 AM,1181.7,1180.4,4.45,,,,,
89,01/14/22 08:00:00 AM,1182.1,1180.4,4.48,,,,,
90,01/14/22 08:30:00 AM,1182.1,1180.4,4.50,,,,,
91,01/14/22 09:00:00 AM,1182.1,1180.4,4.52,,,,,
92,01/14/22 09:30:00 AM,1183.7,1182.0,4.54,,,,,
93,01/14/22 10:00:00 AM,1184.3,1182.3,4.56,,,,,
94,01/14/22 10:30:00 AM,1183.5,1182.3,4.55,,,,,
95,01/14/22 11:00:00 AM,1183.7,1182.3,4.57,,,,,
96,01/14/22 11:30:00 AM,1184.5,1183.5,4.61,,,,,
97,01/14/22 12:00:00 PM,1185.2,1183.9,4.61,,,,,
98,01/14/22 12:30:00 PM,1185.5,1184.2,4.63,,,,,
99,01/14/22 01:00:00 PM,1186.8,1185.4,4.65,,,,,
100,01/14/22 01:30:00 PM,1186.7,1185.0,4.67,,,,,
101,01/14/22 02:00:00 PM,1188.5,1187.0,4.70,,,,,
102,01/14/22 02:30:00 PM,1186.5,1185.0,4.67,,,,,
103,01/14/22 03:00:00 PM,1186.9,1185.4,4.67,,,,,
104,01/14/22 03:30:00 PM,1186.9,1185.4,4.65,,,,,
105,01/14/22 04:00:00 PM,1186.6,1185.0,4.63,,,,,
106,01/14/22 04:30:00 PM,1186.3,1184.6,4.64,,,,,
107,01/14/22 05:00:00 PM,1185.9,1184.2,4.64,,,,,
108,01/14/22 05:30:00 PM,1185.5,1184.2,4.63,,,,,
109,01/14/22 06:00:00 PM,1185.5,1184.3,4.62,,,,,
110,01/14/22 06:30:00 PM,1185.6,1184.3,4.62,,,,,
111,01/14/22 07:00:00 PM,1185.2,1183.9,4.62,,,,,
112,01/14/22 07:30:00 PM,1185.3,1184.3,4.62,,,,,
113,01/14/22 08:00:00 PM,1185.6,1184.2,4.63,,,,,
114,01/14/22 08:30:00 PM,1185.2,1183.9,4.62,,,,,
115,01/14/22 09:00:00 PM,1185.4,1184.2,4.63,,,,,
116,01/14/22 09:30:00 PM,1185.3,1183.9,4.62,,,,,
117,01/14/22 10:00:00 PM,1185.5,1184.3,4.62,,,,,
118,01/14/22 10:30:00 PM,1185.3,1184.3,4.62,,,,,
119,01/14/22 11:00:00 PM,1185.7,1184.2,4.63,,,,,
120,01/14/22 11:30:00 PM,1185.3,1184.3,4.62,,,,,
121,01/15/22 12:00:00 AM,1185.4,1184.2,4.63,,,,,
122,01/15/22 12:30:00 AM,1185.6,1184.2,4.64,,,,,
123,01/15/22 01:00:00 AM,1185.6,1184.2,4.63,,,,,
124,01/15/22 01:30:00 AM,1185.5,1184.2,4.63,,,,,
125,01/15/22 02:00:00 AM,1185.3,1184.2,4.63,,,,,
126,01/15/22 02:30:00 AM,1185.9,1184.6,4.63,,,,,
127,01/15/22 03:00:00 AM,1185.8,1184.2,4.64,,,,,
128,01/15/22 03:30:00 AM,1185.7,1184.6,4.63,,,,,
129,01/15/22 04:00:00 AM,1185.8,1184.6,4.63,,,,,
130,01/15/22 04:30:00 AM,1186.0,1184.6,4.63,,,,,
131,01/15/22 05:00:00 AM,1185.8,1184.2,4.64,,,,,
132,01/15/22 05:30:00 AM,1185.6,1184.2,4.64,,,,,
133,01/15/22 06:00:00 AM,1185.9,1184.6,4.63,,,,,
134,01/15/22 06:30:00 AM,1185.8,1184.2,4.64,,,,,
135,01/15/22 07:00:00 AM,1185.7,1184.2,4.64,,,,,
136,01/15/22 07:30:00 AM,1185.7,1184.2,4.65,,,,,
137,01/15/22 08:00:00 AM,1185.1,1183.8,4.65,,,,,
138,01/15/22 08:30:00 AM,1186.1,1185.0,4.68,,,,,
139,01/15/22 09:00:00 AM,1187.4,1186.2,4.71,,,,,
140,01/15/22 09:30:00 AM,1184.3,1182.9,4.70,,,,,
141,01/15/22 10:00:00 AM,1189.9,1188.4,4.83,,,,,
142,01/15/22 10:30:00 AM,1189.2,1188.0,4.85,,,,,
143,01/15/22 11:00:00 AM,1192.5,1190.7,4.92,,,,,
144,01/15/22 11:30:00 AM,1200.2,1198.5,5.13,,,,,
145,01/15/22 12:00:00 PM,1195.2,1193.8,5.00,,,,,
146,01/15/22 12:30:00 PM,1199.4,1198.1,5.15,,,,,
147,01/15/22 01:00:00 PM,1199.9,1198.5,5.12,,,,,
148,01/15/22 01:30:00 PM,1197.8,1196.2,5.05,,,,,
149,01/15/22 02:00:00 PM,1198.0,1196.1,5.09,,,,,
150,01/15/22 02:30:00 PM,1198.8,1197.3,5.11,,,,,
151,01/15/22 03:00:00 PM,1199.6,1198.5,5.15,,,,,
