"Plot Title: HP_Winter22"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21086715, SEN S/N: 21086715)","Intensity, lum/ft² (LGR S/N: 21086715, SEN S/N: 21086715)","Coupler Attached (LGR S/N: 21086715)","Host Connected (LGR S/N: 21086715)","Stopped (LGR S/N: 21086715)","End Of File (LGR S/N: 21086715)"
105,01/14/22 04:00:00 PM,4.934,11.0,,,,
106,01/14/22 04:30:00 PM,4.934,2.0,,,,
107,01/14/22 05:00:00 PM,4.934,0.0,,,,
108,01/14/22 05:30:00 PM,4.934,0.0,,,,
109,01/14/22 06:00:00 PM,4.831,0.0,,,,
110,01/14/22 06:30:00 PM,4.831,0.0,,,,
111,01/14/22 07:00:00 PM,4.831,0.0,,,,
112,01/14/22 07:30:00 PM,4.831,0.0,,,,
113,01/14/22 08:00:00 PM,4.831,0.0,,,,
114,01/14/22 08:30:00 PM,4.831,0.0,,,,
115,01/14/22 09:00:00 PM,4.831,0.0,,,,
116,01/14/22 09:30:00 PM,4.831,0.0,,,,
117,01/14/22 10:00:00 PM,4.934,0.0,,,,
118,01/14/22 10:30:00 PM,4.934,0.0,,,,
119,01/14/22 11:00:00 PM,4.831,0.0,,,,
120,01/14/22 11:30:00 PM,4.831,0.0,,,,
121,01/15/22 12:00:00 AM,4.831,0.0,,,,
122,01/15/22 12:30:00 AM,4.934,0.0,,,,
123,01/15/22 01:00:00 AM,4.934,0.0,,,,
124,01/15/22 01:30:00 AM,4.831,0.0,,,,
125,01/15/22 02:00:00 AM,4.831,0.0,,,,
126,01/15/22 02:30:00 AM,4.934,0.0,,,,
127,01/15/22 03:00:00 AM,4.934,0.0,,,,
128,01/15/22 03:30:00 AM,4.934,0.0,,,,
129,01/15/22 04:00:00 AM,4.934,0.0,,,,
130,01/15/22 04:30:00 AM,4.934,0.0,,,,
131,01/15/22 05:00:00 AM,4.934,0.0,,,,
132,01/15/22 05:30:00 AM,4.934,0.0,,,,
133,01/15/22 06:00:00 AM,4.934,0.0,,,,
134,01/15/22 06:30:00 AM,4.934,0.0,,,,
135,01/15/22 07:00:00 AM,4.934,0.0,,,,
