"runid","sample_id","pre","post","pre750","post750","file"
"Abs.10","L60_220131","665","664",0.0212,0.0239,"22030r4.csv"
"Abs.5","LM-ARB_220131","665","665",0,0,"22030r4.csv"
"Abs.1","MDT_220130","665","665",0.014,0.0122,"22030r4.csv"
"Abs.2","O-N_220130","665","665",0.0116,0.011,"22030r4.csv"
"Abs.3","O-S_220130","665","664",0.0089,0.0131,"22030r4.csv"
"Abs.7","OPP-E_220131","665","664",0.0281,0.0278,"22030r4.csv"
"Abs.6","OPP-W_220131","665","664",0.0121,0.0127,"22030r4.csv"
"Abs.4","UM-ARB_220131","665","multiple_peaks",0.0074,0.0096,"22030r4.csv"
"Abs.1","ALC_220209","multiple_peaks","multiple_peaks",0.0111,0.0114,"22030r5.csv"
"Abs.11","BLA",,,0.0034,0.0033,"22030r5.csv"
"Abs.7","CAP_220209","665","664",0.0283,0.0291,"22030r5.csv"
"Abs.5","DCSW1_220209","multiple_peaks","600",0.0314,0.0285,"22030r5.csv"
"Abs.6","DCSW2_220209","664","663",0.0255,0.0091,"22030r5.csv"
"Abs.4","DCSW3_220209","665","664",0.017,0.0177,"22030r5.csv"
"Abs.3","DOBA4_220209","665","665",0.0297,0.0369,"22030r5.csv"
"Abs.2","DOBA5_220209","665","665",0.0192,0.0214,"22030r5.csv"
"Abs.8","HP_220209","665","664",0.0092,0.0099,"22030r5.csv"
"Abs.9","L60_220209","665","665",0.0065,0.0076,"22030r5.csv"
"Abs.10","MDT_220210","665","665",0.0054,0.0069,"22030r5.csv"
"Abs.11","BLA",,,2e-04,8e-04,"22030r6.csv"
"Abs.6","DOBA7_220211","664","multiple_peaks",0.0241,0.0197,"22030r6.csv"
"Abs.5","DOBA8_220210","604","603",0.0183,0.0148,"22030r6.csv"
"Abs.1","ELV_220210","665","multiple_peaks",0.0122,0.0184,"22030r6.csv"
"Abs.2","KP_220210","multiple_peaks","664",0.036,0.0453,"22030r6.csv"
"Abs.10","LM-ARB_220211","665","multiple_peaks",0.0081,0.0118,"22030r6.csv"
"Abs.4","O-N_220210","665","664",0.0133,0.0178,"22030r6.csv"
"Abs.3","O-S_220210","665","663",0.0108,0.011,"22030r6.csv"
"Abs.8","OPP-E_220211","665","663",0.0143,0.0203,"22030r6.csv"
"Abs.7","OPP-W_220211","665","664",0.0136,0.0141,"22030r6.csv"
"Abs.9","UM-ARB_220211","665","664",0.009,0.0069,"22030r6.csv"
