Site.Code,Pond.Type,Source,Developed200m,Forest200m,Wetlands200m,Lawn200m,HerbScrub200m,Water200m,Developed500m,Forest500m,Wetlands500m,Lawn500m,HerbScrub500m,Water500m,Barren.Land.1000m,Cultivated.Crops.1000m,Deciduous.Forest.1000m,Developed.High.Intensity.1000m,Developed.Low.Intensity.1000m,Developed.Medium.Intensity.1000m,Developed.Open.Space.1000m,Emergent.Herbaceuous.Wetlands.1000m,Evergreen.Forest.1000m,Hay.Pasture.1000m,Herbaceuous.1000m,Mixed.Forest.1000m,Open.Water.1000m,Shrub.Scrub.1000m,Woody.Wetlands.1000m,Developed1000m,Forest1000m,Wetlands1000m,Lawn1000m,HerbScrub1000m,Water1000m,Easting,Northing,Pond.Made,Pond.Age,Origin
LM-ARB,Green Space,Stormwater,0,0,0.863309353,0.122302158,0,0.014388489,0.130884041,0.03673938,0.50401837,0.31228473,0,0.016073479,0,0.008018328,0.079896907,0.001145475,0.243413517,0.021477663,0.296678121,0.06443299,0,0.044959908,0.001431844,0.018613975,0.082760596,0,0.137170676,0.266036655,0.098510882,0.201603666,0.296678121,0.05441008,0.082760596,301641.0561,4768927.727,1995,26,New
UM-ARB,Green Space,Stormwater,0.268115942,0,0.492753623,0.210144928,0,0.028985507,0.324137931,0,0.33908046,0.332183908,0,0.004597701,0,8.58E-04,0.035765379,0.001144492,0.312160229,0.02546495,0.335908441,0.057224607,0,0.038912732,0.001430615,0.010586552,0.058941345,0,0.121602289,0.338769671,0.046351931,0.178826896,0.335908441,0.041201717,0.058941345,301447.1351,4768987.484,2014,7,Drainage
TP-ARB,Green Space,Stormwater,0,0.202898551,0.797101449,0,0,0,0.084862385,0.252293578,0.5,0.008027523,0.153669725,0.001146789,5.73E-04,0.040126111,0.196044712,0.083691602,0.066494698,0.091143594,0.122098022,0.07394669,0.001433075,0.053023789,8.60E-04,0.044711952,0.005159071,0,0.220693608,0.241329894,0.242189739,0.294640298,0.122098022,0.094009745,0.005159071,302525.8387,4768212.391,1937,84,Pond
MC-ARB,Green Space,Stormwater,0.108695652,0,0.855072464,0,0.028985507,0.007246377,0.249142857,0.138285714,0.462857143,0.013714286,0.133714286,0.001142857,5.71E-04,0.039965744,0.187268056,0.090493862,0.128461319,0.114187839,0.12789038,0.04967171,0.00713674,0.054810163,0,0.0356837,8.56E-04,0,0.16300314,0.33314302,0.230088496,0.21267485,0.12789038,0.094775906,8.56E-04,302491.3713,4767982.953,1987,34,New
COY-ARB,Green Space,Stormwater,0,0.224637681,0.253623188,0.007246377,0.507246377,0,0.317241379,0.132183908,0.245977011,0.072413793,0.226436782,0.003448276,5.73E-04,0.040687679,0.130945559,0.074212034,0.166475645,0.101719198,0.187965616,0.037249284,0.028366762,0.05530086,0,0.059598854,8.60E-04,0,0.116045845,0.342406877,0.218911175,0.153295129,0.187965616,0.095988539,8.60E-04,302133.8724,4767828.429,1957,64,New
