Pond,Latitude,Longitude
Curtis,43.03728702,-89.43350227
Mad City,43.0388574,-89.42464823
Teal,43.0409306,-89.42430679
Upper Manitou,43.04762,-89.43781
Lower Manitou,43.0471358,-89.435414
