sampleid,TIC,TOC,DIC,DOC,sampleID,pond,date,TC
DOBA5_2021_08_04,15.46,13.84,7.629,10.08,DOBA5_2021-08-04,DOBA5,2021-08-04,29.3
CAP_2021_08_04,14.38,6.639,11.39,7.04,CAP_2021-08-04,CAP,2021-08-04,21.019000000000002
L60-UW_2021_08_05,35.13,9.114,27.75,9.057,L60-UW_2021-08-05,L60-UW,2021-08-05,44.244
HP-UW_2021_08_05,53.33,2.124,52.16,2.192,HP-UW_2021-08-05,HP-UW,2021-08-05,55.454
DOBA8_2021_08_05,9.541,6.811,7.081,6.616,DOBA8_2021-08-05,DOBA8,2021-08-05,16.352
MDT_2021_08_05,NA,NA,7.956,6.024,MDT_2021-08-05,MDT,2021-08-05,NA
OPP-E_2021-06-02,18.62,7.505,16.68,7.322,OPP-E_2021-06-02,OPP-E,2021-06-02,26.125
OPP-W_2021-06-02,16.36,8.946,14.32,8.884,OPP-W_2021-06-02,OPP-W,2021-06-02,25.305999999999997
DOBA7_2021-06-02,11.41,6.349,9.595,6.019,DOBA7_2021-06-02,DOBA7,2021-06-02,17.759
LM-ARB_2021-06-03,31.65,7.366,27.04,7.239,LM-ARB_2021-06-03,LM-ARB,2021-06-03,39.016
UM-ARB_2021-06-03,30.96,7.674,28.95,7.119,UM-ARB_2021-06-03,UM-ARB,2021-06-03,38.634
DOBA5_2021-06-07,13.98,7.269,12.99,7.138,DOBA5_2021-06-07,DOBA5,2021-06-07,21.249000000000002
DOBA4_2021-06-07,10.96,6.72,9.844,6.333,DOBA4_2021-06-07,DOBA4,2021-06-07,17.68
CAP_2021-06-07,20.83,5.893,19.72,6.062,CAP_2021-06-07,CAP,2021-06-07,26.723
ALC_2021-06-08,21.22,9.102,20.9,9.028,ALC_2021-06-08,ALC,2021-06-08,30.322
ELV_2021-06-08,12.46,6.654,12.01,6.537,ELV_2021-06-08,ELV,2021-06-08,19.114
DCSW1_2021-06-09,17.83,8.422,17.61,8.884,DCSW1_2021-06-09,DCSW1,2021-06-09,26.252
DCSW2_2021-06-09,17.89,7.776,20.45,8.113,DCSW2_2021-06-09,DCSW2,2021-06-09,25.666
